,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name
total ether received,-0.01385716531111106,-0.007854441548306836,-0.011358546409103986,0.01332907044339217,0.15553804781849814,0.23524029638746646,-0.0008267401502404952,0.12470840440459618,0.08613917441653336,-0.002283927634966381,0.2960934139252412,0.06252434469475956,0.0011198024955378588,0.0864284973429009,0.16553517279179314,-0.0002912399267819561,-0.00044355456699966524,-0.0004551684247291795,0.250801231482138,0.7749464661752141,1.0,-0.0004435548325895334,0.35688165051863446,0.06546558998281102,0.002497767602041318,-3.804357780232777e-05,0.0247237769023354,0.002379089979718158,0.024793310598647197,0.010682902128144683,0.07041267971568375,,,,,-0.0009473436645352824,0.0020308139461919323,0.0012045024788052844,-0.000334201849045841,-0.00027901525219273433,-0.00030683079239555647,,,,0.0040771119242158475,0.0705230288332912
total ether sent contracts,-0.006570190359901678,0.0008426556412533542,-0.003496404862756601,0.03602239816607665,0.013068646174347361,0.008033291714336989,-0.0002595110752545194,0.023152351011536582,0.010800975265174305,-0.0022015124002167635,-0.0006046539161593036,-0.0005611560219781922,-0.000543063489701733,-0.0006572354329229283,-0.003006314087488079,0.43684119330831084,0.9999999999969958,0.9496065877428618,0.01288848159884489,-0.0003949239609358273,-0.0004435548325895334,1.0,-8.263475742761054e-05,-0.00030445453676344354,0.00042619726632937843,-0.00018011062320746665,-0.0002833528212758425,5.008776618001972e-05,0.0013098363547030508,-0.0008195878059506738,0.012053143691816164,,,,,-0.00044999318924050124,0.00011737912365412484,5.824189906415764e-05,-0.00017424571630185375,-0.00016919201558426421,-0.00016531755149804957,,,,0.0056506755187488164,0.012410762855030446
total ether balance,-0.00265001598256542,-0.0015332441792725389,-0.002272954184115849,0.0026854139850587388,-0.12743033754454525,0.15834117621947605,-0.03791717338632795,0.14496450091598573,-0.11352784681192366,-0.00030103947396594,0.2783157209431787,-0.13572763504542276,0.0015039713590981334,-0.5649699699970345,-0.04584884242057345,-5.089917596740458e-05,-8.263471710035324e-05,-8.362788805444868e-05,0.034789363575017024,-0.31384348557180264,0.35688165051863446,-8.263475742761054e-05,1.0,-0.008039554706895463,-0.001743995311704297,-0.00030752316757203115,0.037934587915643185,-0.005784732496235869,-0.019879812241633953,0.018341775107360698,-0.023959034534223406,,,,,-0.00018523435700371237,-0.0012575256728314397,-0.0010014111232608599,-5.36022670115358e-05,-0.0001177992076394818,-7.045049212318134e-05,,,,-0.005283621996990391,-0.02398459562869727
 Total ERC20 tnxs,-0.02569689008544698,-0.012307436476715538,-0.02057783131155236,0.0759223423649967,0.38131140642848116,0.11620346215777826,0.24950006056705765,0.057717979373700136,0.14807098435357105,-0.007647695669996584,0.03226087593840176,0.01226350077172194,-0.0025741681698581423,0.13083413070116817,0.02039311436498124,-0.00010282789991571126,-0.00030445461896567007,-0.0002785991617812899,0.3207499954863143,0.07197898247548967,0.06546558998281102,-0.00030445453676344354,-0.008039554706895463,1.0,0.004297184073648896,0.000724535303817636,0.006079321652715813,0.7259114075626169,0.7171542287295624,0.0022687310104911817,0.2640453217944838,,,,,-0.002160431340186758,0.0031090272441507668,0.0005709460912705426,-0.0008175820252220255,-0.00045708448122316707,-0.0007715263241750871,,,,0.1850887557388533,0.26161997069026294
 ERC20 total Ether received,-0.004474950731202961,-0.0025420416181358443,-0.0036561851970688193,0.04678831492217211,0.006683018263468005,0.016501330031400373,0.002071703524830613,0.002741811638917987,0.005709181104238472,-0.0017269849320485787,0.006229797330468094,0.004473987939592308,-0.00042541822181596143,0.03287996172342521,0.01935035269197951,0.001242077220055735,0.0004261943893998773,0.0007726470046833815,0.015446509595767138,0.003718696781944858,0.002497767602041318,0.00042619726632937843,-0.001743995311704297,0.004297184073648896,1.0,0.00010060228669358568,-0.00015026156396145789,0.0033249701799375917,0.0063108453472473704,0.0009772826682650432,0.02986969900283824,,,,,-0.0003521367642938123,0.9999665890911632,0.8598224717098505,-0.0001364974377115923,-5.8587739314586e-05,-6.843033336340965e-05,,,,0.01816844846456286,0.03076466716033804
 ERC20 total ether sent,0.024762246540287653,-0.002104957153959101,-0.0038760530854583734,-0.00501372552477616,-0.00031514982579089755,-0.00045228042730769655,0.0011662525391412449,5.89101754024935e-05,4.228021487164569e-06,-0.0016271651356458872,-0.00026562826029692823,-0.0003903200500432891,-0.0004070155363873644,0.0006150976852835173,-0.0015982777567061421,-0.0001573729841145735,-0.00018011040879692156,-0.00019845490049488375,-0.00036915890743606457,0.00016939630527543957,-3.804357780232777e-05,-0.00018011062320746665,-0.00030752316757203115,0.000724535303817636,0.00010060228669358568,1.0,-0.00021270247777406318,0.0003272130736387124,0.0005319439585149054,-0.0006152337765279253,0.001700348513807809,,,,,-0.00032537303981326375,-3.909151987882837e-07,0.0001992317921953818,0.9993107519848012,0.9996492271885276,0.9995659061716183,,,,0.003628737376222961,0.001728452019302954
 ERC20 total Ether sent contract,0.01351392675641073,-0.0044094294063407435,-0.0061597499214874896,-0.008389163761518144,-0.002896745939917856,0.10487029036572001,-0.00037429045909088705,0.11667229584344913,-0.0018478192397258179,-0.002546176425762307,0.06870426632393704,-0.000329537757983857,-0.0006280784067993891,-0.0008956031218011509,-0.003523327957234753,-0.0002558670935381959,-0.0002833524613869864,-0.0003150993977497871,0.0713171245070183,-0.0005363998649011904,0.0247237769023354,-0.0002833528212758425,0.037934587915643185,0.006079321652715813,-0.00015026156396145789,-0.00021270247777406318,1.0,-0.0009321683527159409,0.012104851319769742,0.27461341419168767,0.03675625157197066,,,,,-0.0005207090730687655,-0.00014316596242328056,-0.00018466131673063445,-0.0002013783149647299,-0.00020001559748163616,-0.0001933912992851021,,,,-0.00313516197743536,0.03662466706109152
 ERC20 uniq sent addr,-0.020554062220193035,-0.009476886525368095,-0.014775744654896643,0.040686219673405695,0.3560647393946847,0.04418673239968255,0.1547883406150722,0.04519999484018635,0.12178868984808863,-0.006072254017477742,0.001475018343287694,-0.00013465863955182758,-0.0018574602589011655,0.04664950724473525,-0.0067260823474616085,-0.0005781014956735721,5.008940090876965e-05,-0.0001615000576421634,0.24655499983925844,0.006331953895843197,0.002379089979718158,5.008776618001972e-05,-0.005784732496235869,0.7259114075626169,0.0033249701799375917,0.0003272130736387124,-0.0009321683527159409,1.0,0.5663388669484214,-0.00250007335999641,0.14522214722243748,,,,,-0.001218818448603313,0.002595732253434436,0.0010547788524793847,-0.0004908631271586305,-0.00024770230235580455,-0.00046270437776220735,,,,0.10851489438647578,0.14367918820453557
 ERC20 uniq rec addr,-0.01753915309910493,-0.0011328843204831166,-0.016036542136512375,0.08070857254941233,0.30046107971619335,0.13648493596349198,0.19064598718654915,0.08302565820609327,0.1769884546373076,-0.005189518099109654,0.03918526271183691,0.037338343676717636,-0.00209204010363236,0.19891840174757555,0.010298062981122633,0.0028910942787721884,0.0013098300365433683,0.0020518514119516784,0.28337723731279446,0.038650337532137,0.024793310598647197,0.0013098363547030508,-0.019879812241633953,0.7171542287295624,0.0063108453472473704,0.0005319439585149054,0.012104851319769742,0.5663388669484214,1.0,0.010517730635080484,0.4431336356093944,,,,,-0.002311561073032491,0.005313677007625299,0.0030223857679419915,-0.00086125748193583,-0.000419440567744964,-0.000796705875500792,,,,0.3200356344420851,0.43724537085089993
 ERC20 uniq sent addr.1,-0.0030471330561018346,-0.012754115368835788,-0.01469776667327143,0.01996141968604194,-0.008378733053032066,0.3377267204132196,-0.0010826216403045437,0.24149445546915305,-0.005344750441027088,-0.007364723389580625,0.04868989479258774,-0.001739276993248142,-0.0018166941168112976,-0.002590499696789729,-0.010191098917287898,-0.0007400863307579315,-0.0008195867649851509,-0.0009114136322882081,0.23021669423505672,-0.0015515172441450092,0.010682902128144683,-0.0008195878059506738,0.018341775107360698,0.0022687310104911817,0.0009772826682650432,-0.0006152337765279253,0.27461341419168767,-0.00250007335999641,0.010517730635080484,1.0,0.03144366366561427,,,,,-0.0014939677175067753,0.0009987418236982297,0.0031174127997848438,-0.000582283158363737,-0.0005785374331136295,-0.0005593767160477464,,,,-0.006754806892364051,0.031636581326006614
